Scenario,OMST,LMST,Sens early (%),Sens late (%),Specificity (%),# screens,Follow-up,Positivity (%),Phi (%),p_c (Trad),p_s (Trad),p_c (IE+),p_s (IE+),p_c (PA),p_s (PA),rho_n control,rho_n screen,RR negative,RR Traditional,RR IE,RR PA,N Traditional,N IE,N PA,N_Traditional / N_IE,N_Traditional / N_PA
14,2,0.5,40,90,90,3,5,27.333,99.954,0.009,0.008,0.011,0.004,0.009,0.007,0.009,0.009,0.992,0.8,0.377,0.79,73863,18691,69882,3.952,1.057
15,2,0.5,40,90,90,6,2,47.146,99.954,0.009,0.006,0.012,0.005,0.009,0.006,0.008,0.007,0.986,0.644,0.394,0.626,21326,10796,20066,1.975,1.063
16,2,0.5,40,90,90,6,5,47.146,99.954,0.015,0.011,0.013,0.005,0.015,0.011,0.017,0.017,0.984,0.737,0.36,0.728,25609,8606,24717,2.976,1.036
17,2,0.5,70,60,100,3,2,0.485,99.969,0.005,0.003,0.593,0.133,0.005,0.002,0.002,0.002,0.994,0.535,0.224,0.503,22948,7061,21039,3.25,1.091
18,2,0.5,70,60,100,3,5,0.485,99.969,0.009,0.007,0.717,0.133,0.009,0.006,0.006,0.006,0.991,0.695,0.186,0.685,29978,4636,28834,6.466,1.04
19,2,0.5,70,60,100,6,2,0.951,99.969,0.009,0.004,0.645,0.124,0.009,0.004,0.003,0.003,0.984,0.472,0.192,0.454,8678,2881,8296,3.012,1.046
20,2,0.5,70,60,100,6,5,0.951,99.969,0.015,0.009,0.723,0.124,0.015,0.009,0.008,0.008,0.982,0.614,0.172,0.606,11108,2247,10830,4.942,1.026
21,2,0.5,70,60,90,3,2,27.423,99.969,0.005,0.003,0.011,0.002,0.005,0.002,0.003,0.003,0.994,0.535,0.224,0.503,22948,11017,21039,2.083,1.091
22,2,0.5,70,60,90,3,5,27.423,99.969,0.009,0.007,0.013,0.002,0.009,0.006,0.008,0.008,0.991,0.695,0.186,0.685,29978,8003,28834,3.746,1.04
23,2,0.5,70,60,90,6,2,47.276,99.969,0.009,0.004,0.013,0.002,0.009,0.004,0.006,0.006,0.984,0.472,0.192,0.454,8678,4645,8296,1.868,1.046
24,2,0.5,70,60,90,6,5,47.276,99.969,0.015,0.009,0.015,0.002,0.015,0.009,0.016,0.015,0.982,0.614,0.172,0.606,11108,3866,10830,2.873,1.026
25,2,0.5,70,90,100,3,2,0.515,99.954,0.005,0.003,0.616,0.182,0.004,0.002,0.002,0.002,0.992,0.535,0.296,0.485,22983,7775,20116,2.956,1.143
26,2,0.5,70,90,100,3,5,0.515,99.954,0.009,0.007,0.733,0.182,0.009,0.006,0.006,0.006,0.99,0.695,0.249,0.68,29978,4994,28262,6.003,1.061
27,2,0.5,70,90,100,6,2,1.003,99.954,0.009,0.004,0.664,0.17,0.009,0.004,0.003,0.003,0.98,0.472,0.257,0.445,8685,3126,8112,2.778,1.071
28,2,0.5,70,90,100,6,5,1.003,99.954,0.015,0.009,0.738,0.17,0.015,0.009,0.008,0.008,0.981,0.614,0.231,0.602,11108,2409,10691,4.612,1.039
29,2,0.5,70,90,90,3,2,27.451,99.954,0.005,0.003,0.012,0.003,0.004,0.002,0.002,0.002,0.992,0.535,0.296,0.485,22983,12847,20116,1.789,1.143
30,2,0.5,70,90,90,3,5,27.451,99.954,0.009,0.007,0.014,0.003,0.009,0.006,0.008,0.008,0.99,0.695,0.249,0.68,29978,9130,28262,3.283,1.061
31,2,0.5,70,90,90,6,2,47.319,99.954,0.009,0.004,0.014,0.004,0.009,0.004,0.005,0.005,0.98,0.472,0.257,0.445,8685,5314,8112,1.634,1.071
32,2,0.5,70,90,90,6,5,47.319,99.954,0.015,0.009,0.016,0.004,0.015,0.009,0.015,0.014,0.981,0.614,0.231,0.602,11108,4369,10691,2.542,1.039
33,2,1,40,60,100,3,2,0.37,99.938,0.005,0.004,0.673,0.386,0.004,0.003,0.002,0.002,0.995,0.777,0.573,0.745,116028,25607,99381,4.531,1.168
34,2,1,40,60,100,3,5,0.37,99.938,0.009,0.008,0.804,0.386,0.009,0.007,0.007,0.006,0.992,0.832,0.481,0.82,105740,11737,98281,9.01,1.076
